Game is Loss
KTS    ID     FD     KD     LT
13     2      0      11     11     
22     11     0      10     10     
23     7      0      14     14     
24     4      0      19     19     
41     27     7      2      9      
41     28     7      2      9      
43     24     10     4      14     
44     13     0      29     29     
45     9      0      35     35     
45     19     15     6      21     
47     25     15     3      18     
47     23     16     2      18     
48     35     10     0      10     
48     3      0      45     45     
48     33     9      5      14     
49     12     0      35     35     
52     20     18     8      26     
Castle Total Damage = 141
Total Killed Enemies = 17
Total Alive Enemies = 83
Average First-Shot delay for killed enemies = 6.29412
Average Kill Delay for killed enemies = 13.5294
