Game is Win
KTS    ID     FD     KD     LT
7      1      0      4      4      
13     5      0      6      6      
14     7      0      6      6      
16     11     2      2      4      
17     9      0      5      5      
17     15     1      2      3      
19     10     0      7      7      
21     14     5      3      8      
23     18     0      6      6      
24     6      0      17     17     
24     3      0      19     19     
28     2      0      24     24     
31     16     10     6      16     
33     13     0      21     21     
40     22     0      16     16     
43     31     0      10     10     
44     21     6      16     22     
45     12     14     19     33     
47     30     0      15     15     
47     8      0      37     37     
49     4      0      43     43     
50     28     0      21     21     
53     41     11     2      13     
53     46     2      5      7      
54     40     1      14     15     
55     42     7      7      14     
55     47     3      5      8      
58     45     11     3      14     
60     25     2      31     33     
60     43     17     2      19     
61     33     0      27     27     
61     44     0      19     19     
61     17     3      43     46     
65     51     3      9      12     
67     20     2      45     47     
67     58     5      4      9      
67     19     1      47     48     
68     24     0      42     42     
72     27     0      44     44     
73     49     5      17     22     
73     50     0      20     20     
73     38     0      36     36     
77     59     5      14     19     
80     23     0      54     54     
83     67     4      14     18     
83     63     7      14     21     
84     69     0      18     18     
84     82     0      5      5      
85     37     0      48     48     
86     83     0      5      5      
86     60     10     16     26     
86     34     0      52     52     
87     71     19     1      20     
87     52     3      30     33     
87     62     3      23     26     
88     56     0      31     31     
88     74     0      17     17     
88     77     0      13     13     
88     64     4      22     26     
90     53     22     14     36     
91     72     5      17     22     
91     61     10     21     31     
93     86     4      7      11     
94     88     5      5      10     
95     85     7      6      13     
96     79     0      19     19     
96     78     0      20     20     
96     94     3      7      10     
98     76     0      23     23     
98     93     4      9      13     
100    80     0      21     21     
102    36     65     1      66     
105    75     1      31     32     
106    70     9      30     39     
106    55     8      43     51     
107    92     4      18     22     
109    66     8      36     44     
115    89     6      24     30     
121    111    0      19     19     
123    90     4      34     38     
123    104    0      30     30     
124    108    0      25     25     
127    115    15     8      23     
128    119    0      19     19     
129    106    0      32     32     
129    95     1      42     43     
130    114    0      26     26     
137    122    0      24     24     
138    98     3      47     50     
141    133    6      14     20     
143    107    28     16     44     
145    127    2      26     28     
147    123    0      34     34     
151    118    0      44     44     
153    102    1      61     62     
153    121    0      42     42     
154    125    9      30     39     
154    126    4      34     38     
155    116    15     35     50     
155    137    9      22     31     
155    146    0      21     21     
156    141    0      26     26     
158    135    8      27     35     
163    142    0      33     33     
163    148    17     8      25     
165    167    0      8      8      
165    129    34     13     47     
165    117    59     1      60     
173    160    16     7      23     
173    152    13     17     30     
175    162    3      21     24     
175    131    18     36     54     
176    140    36     12     48     
176    158    14     12     26     
177    124    0      63     63     
178    143    28     19     47     
183    169    0      24     24     
183    164    4      26     30     
185    144    0      53     53     
186    113    0      84     84     
186    110    0      85     85     
186    155    12     30     42     
188    120    0      78     78     
190    150    17     33     50     
191    165    36     0      36     
192    176    25     0      25     
192    163    38     2      40     
192    153    13     36     49     
192    128    39     36     75     
193    180    20     2      22     
193    181    20     2      22     
193    174    26     2      28     
193    185    0      17     17     
195    194    0      11     11     
196    168    0      39     39     
197    184    2      21     23     
198    149    54     4      58     
200    156    11     43     54     
200    134    37     42     79     
200    35     164    1      165    
204    170    36     9      45     
206    145    68     5      73     
207    151    65     1      66     
207    91     121    1      122    
208    99     97     21     118    
209    188    17     14     31     
213    177    28     17     45     
214    136    0      90     90     
214    171    0      53     53     
215    198    0      26     26     
217    207    0      17     17     
218    178    0      49     49     
221    192    0      37     37     
221    204    0      23     23     
225    211    0      20     20     
226    173    29     32     61     
228    159    44     34     78     
229    187    0      52     52     
236    139    63     47     110    
238    197    0      50     50     
240    182    23     45     68     
240    183    4      62     66     
241    189    0      61     61     
241    235    0      9      9      
246    39     157    50     207    
248    206    0      48     48     
248    199    0      58     58     
250    208    0      48     48     
251    205    0      51     51     
259    32     75     151    226    
260    203    0      64     64     
261    166    43     62     105    
262    216    0      50     50     
267    220    0      52     52     
267    221    0      51     51     
270    232    0      41     41     
270    243    0      29     29     
272    212    0      67     67     
273    241    0      34     34     
275    229    0      51     51     
275    191    8      84     92     
275    190    17     77     94     
275    112    0      173    173    
280    73     6      204    210    
281    209    0      77     77     
281    147    58     87     145    
286    233    0      56     56     
288    223    0      70     70     
294    262    8      22     30     
295    244    0      53     53     
295    242    0      56     56     
297    200    53     53     106    
297    57     131    109    240    
298    270    0      26     26     
299    251    0      48     48     
299    227    0      76     76     
299    238    0      64     64     
299    213    0      92     92     
300    224    0      80     80     
300    236    0      66     66     
303    256    0      44     44     
308    250    4      54     58     
309    138    65     120    185    
311    225    0      90     90     
314    154    12     158    170    
318    215    0      107    107    
321    297    6      14     20     
325    195    18     121    139    
325    245    0      81     81     
326    293    4      26     30     
326    288    16     19     35     
329    266    8      55     63     
331    255    0      72     72     
344    217    0      132    132    
378    278    52     47     99     
Castle Total Damage = 1.61694
Total Killed Enemies = 215
Average First-Shot delay = 11.7395
Average Kill Delay = 34.9302
